City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hobart,AU,72.01,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
10,Nouadhibou,MR,70.59,overcast clouds,20.931,-17.0347,El Medina
11,Omboue,GA,78.01,overcast clouds,-1.5746,9.2618,Hotel Olako
12,Itarema,BR,79.3,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
15,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
23,Bongaree,AU,78.3,light rain,-27.0797,153.1586,The Gums Anchorage
35,New Norfolk,AU,71.65,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
37,Rikitea,PF,74.5,clear sky,-23.1203,-134.9692,People ThankYou
46,Manaus,BR,77.49,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
54,Adilabad,IN,75.31,overcast clouds,19.6667,78.5333,Dwaraka Hotel.
59,Sedhiou,SN,74.46,broken clouds,12.7081,-15.5569,Auberge Cheznous
63,Belmonte,BR,72.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
73,Sao Francisco,BR,70.5,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
76,Bambous Virieux,MU,71.22,clear sky,-20.3428,57.7575,Casa Tia Villa
77,Atuona,PF,78.26,overcast clouds,-9.8,-139.0333,Villa Enata
81,Sao Jose Da Coroa Grande,BR,78.17,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
82,Bonthe,SL,78.85,clear sky,7.5264,-12.505,Bonthe Holiday Village
87,Sur,OM,75.99,broken clouds,22.5667,59.5289,Sur Plaza Hotel
92,Mahebourg,MU,71.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Esperance,AU,71.35,scattered clouds,-33.8667,121.9,Hospitality Esperance
100,Souillac,MU,71.37,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Maragogi,BR,77.94,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
108,Muisne,EC,74.16,overcast clouds,0.6,-80.0333,Quinta Samay
110,Soyo,AO,77.99,overcast clouds,-6.1349,12.3689,Hotel Mpampa
112,Swan Hill,AU,78.35,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
117,Cururupu,BR,76.55,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
121,Geraldton,AU,71.13,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
130,Wamba,NG,73.85,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
131,Guiratinga,BR,73.83,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
136,Ishigaki,JP,73.53,broken clouds,24.3448,124.1572,Ishigaki Resort Granvrio
148,Presidente Epitacio,BR,72.25,clear sky,-21.7633,-52.1156,Hotel Itaverá
150,Saint-Philippe,RE,74.75,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
155,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
156,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
168,Quatre Cocos,MU,71.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
177,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
182,Cumana,VE,77.81,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
205,Bom Jardim,BR,72.72,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
207,Eyl,SO,73.53,scattered clouds,7.9803,49.8164,Amiin Hotel
213,Matara,LK,78.12,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
214,Caravelas,BR,71.62,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
218,Hobyo,SO,78.67,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
224,Fare,PF,79.9,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
230,Dubai,AE,77.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
240,Carlsbad,US,77.13,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
243,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
244,Umm Lajj,SA,70.0,clear sky,25.0213,37.2685,Moon light Furnished Units
245,Icod De Los Vinos,ES,72.34,overcast clouds,28.3724,-16.7119,Hotel Rural El Patio
246,Faanui,PF,79.95,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
260,Angoche,MZ,78.08,overcast clouds,-16.2325,39.9086,Guest House HESADA
266,Hirara,JP,76.91,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
267,Dahegam,IN,73.17,few clouds,23.1667,72.8167,OYO 3231 Malhaar Resort
283,Vao,NC,74.52,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
304,Tecoanapa,MX,79.68,clear sky,16.5167,-98.75,Hotel Manglares
309,Miramar,US,78.03,few clouds,25.9873,-80.2323,Stadium Hotel
314,Uravakonda,IN,72.21,broken clouds,14.95,77.2667,Divya Lodge
317,Puerto Leguizamo,CO,71.65,scattered clouds,-0.1934,-74.7819,la casona de juancho
320,Suchitlan,MX,72.39,clear sky,19.3667,-103.7167,Hostal La Nogalera de Comala
325,Meulaboh,ID,79.39,overcast clouds,4.1363,96.1285,Kost Pria
327,Chalmette,US,70.0,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
329,El Sauce,NI,76.33,few clouds,12.8869,-86.539,Hotel Blanco
342,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
349,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
350,Takoradi,GH,79.39,clear sky,4.8845,-1.7554,Raybow International Hotel
351,Todos Santos,MX,75.79,broken clouds,23.45,-110.2167,Hotel California Todos Santos
353,Lokoja,NG,77.36,broken clouds,7.8024,6.743,Hotel Charvid
356,Koungou,YT,78.51,broken clouds,-12.7336,45.2042,Villa Netibor
357,San Luis,AR,76.28,broken clouds,-33.295,-66.3356,Huarpes Hotel
366,Broken Hill,AU,75.36,broken clouds,-31.95,141.4333,Royal Exchange Hotel
379,Limbe,CM,78.66,overcast clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
