City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,80.33,73,20,10.36,few clouds
1,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.07,73,99,6.87,overcast clouds
2,Hobart,AU,-42.8794,147.3294,72.01,54,40,1.01,scattered clouds
3,Tiksi,RU,71.6872,128.8694,-16.29,99,98,0.94,overcast clouds
4,Dunedin,NZ,-45.8742,170.5036,52.54,82,100,4.74,overcast clouds
5,Avarua,CK,-21.2078,-159.775,82.45,69,75,3.44,light rain
6,Lebu,CL,-37.6167,-73.65,54.41,92,73,18.63,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,39.31,75,75,25.32,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,63.28,88,100,15.03,light rain
9,Mar Del Plata,AR,-38.0023,-57.5575,62.87,80,0,5.37,clear sky
10,Nouadhibou,MR,20.931,-17.0347,70.59,72,100,11.01,overcast clouds
11,Omboue,GA,-1.5746,9.2618,78.01,91,100,3.87,overcast clouds
12,Itarema,BR,-2.9248,-39.9167,79.3,79,22,12.41,few clouds
13,Victoria,HK,22.2855,114.1577,69.33,84,100,1.99,overcast clouds
14,Mayo,US,38.8876,-76.5119,53.94,82,90,1.99,overcast clouds
15,Carnarvon,AU,-24.8667,113.6333,75.27,43,0,19.57,clear sky
16,Hithadhoo,MV,-0.6,73.0833,80.67,79,85,10.29,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,-9.53,73,23,5.93,few clouds
18,Maningrida,AU,-12.0667,134.2667,92.55,47,54,9.6,broken clouds
19,Mujiayingzi,CN,42.1167,118.7833,18.34,45,2,19.95,clear sky
20,Jamestown,US,42.097,-79.2353,42.39,98,90,7.0,overcast clouds
21,Balabac,PH,7.9868,117.0645,84.94,73,23,7.05,few clouds
22,Chuy,UY,-33.6971,-53.4616,67.37,81,0,8.55,clear sky
23,Bongaree,AU,-27.0797,153.1586,78.3,78,52,11.25,light rain
24,Adrar,MR,20.5022,-10.0711,76.59,29,100,10.02,overcast clouds
25,Bethel,US,41.3712,-73.414,52.16,87,90,3.0,overcast clouds
26,Lagoa,PT,39.05,-27.9833,63.7,86,96,25.03,overcast clouds
27,Busselton,AU,-33.65,115.3333,66.04,47,16,15.39,few clouds
28,Kodiak,US,57.79,-152.4072,27.91,37,1,6.91,clear sky
29,Torbay,CA,47.6666,-52.7314,30.27,84,99,4.27,overcast clouds
30,Ucluelet,CA,48.9329,-125.5528,45.09,88,100,7.36,overcast clouds
31,Batemans Bay,AU,-35.7167,150.1833,66.99,56,42,8.25,scattered clouds
32,Osa,RU,57.2829,55.4567,23.27,91,99,10.83,overcast clouds
33,Seydi,TM,39.4816,62.9137,44.53,40,7,7.63,clear sky
34,Puerto Ayora,EC,-0.7393,-90.3518,69.55,82,69,5.99,broken clouds
35,New Norfolk,AU,-42.7826,147.0587,71.65,37,36,1.99,scattered clouds
36,Bogo,PH,11.0517,124.0055,85.91,69,99,5.86,overcast clouds
37,Rikitea,PF,-23.1203,-134.9692,74.5,61,3,4.38,clear sky
38,Hermanus,ZA,-34.4187,19.2345,66.9,89,100,16.55,light rain
39,Butaritari,KI,3.0707,172.7902,81.3,78,22,8.79,few clouds
40,Honiara,SB,-9.4333,159.95,87.91,57,11,4.41,few clouds
41,Fairbanks,US,64.8378,-147.7164,-11.4,74,1,0.0,clear sky
42,Sitka,US,57.0531,-135.33,42.69,87,90,10.36,light intensity drizzle
43,Bengkulu,ID,-3.8004,102.2655,82.99,69,92,2.68,overcast clouds
44,Havoysund,NO,70.9963,24.6622,23.88,58,100,14.14,light snow
45,Kargat,RU,55.1956,80.2811,24.3,84,100,16.22,overcast clouds
46,Manaus,BR,-3.1019,-60.025,77.49,94,0,2.3,clear sky
47,Andapa,MG,-14.65,49.65,63.05,98,17,1.97,few clouds
48,Elko,US,41.0002,-115.5012,35.22,50,3,5.99,clear sky
49,Khatanga,RU,71.9667,102.5,-34.35,99,6,3.8,clear sky
50,Mehamn,NO,71.0357,27.8492,27.7,58,100,22.17,light snow
51,Castro,BR,-24.7911,-50.0119,56.26,77,7,4.61,clear sky
52,Uglegorsk,RU,49.0833,142.0333,29.97,53,83,5.35,broken clouds
53,Katsuura,JP,35.1333,140.3,62.62,86,100,26.6,light rain
54,Adilabad,IN,19.6667,78.5333,75.31,85,99,2.13,overcast clouds
55,Nanortalik,GL,60.1432,-45.2371,30.31,94,85,10.67,overcast clouds
56,High Level,CA,58.5169,-117.136,10.51,85,90,0.0,light snow
57,Pisco,PE,-13.7,-76.2167,64.45,82,0,12.66,clear sky
58,Kapaa,US,22.0752,-159.319,80.92,69,40,1.01,scattered clouds
59,Sedhiou,SN,12.7081,-15.5569,74.46,49,78,3.6,broken clouds
60,Elk River,US,45.3038,-93.5672,25.09,58,1,1.99,clear sky
61,Cape Town,ZA,-33.9258,18.4232,67.12,79,0,25.32,clear sky
62,Rongcheng,CN,30.634,117.8517,45.75,42,100,10.45,overcast clouds
63,Belmonte,BR,-15.8631,-38.8828,72.1,91,97,10.58,overcast clouds
64,Newport,GB,51.5877,-2.9984,39.85,85,10,13.51,clear sky
65,Dikson,RU,73.5069,80.5464,-12.12,75,10,13.22,clear sky
66,Ushuaia,AR,-54.8,-68.3,37.06,75,90,18.41,light rain
67,Port Augusta,AU,-32.5,137.7667,80.71,23,99,4.09,overcast clouds
68,Te Anau,NZ,-45.4167,167.7167,55.2,83,96,2.51,overcast clouds
69,Hamilton,US,39.1834,-84.5333,46.24,95,75,1.99,mist
70,Quilmana,PE,-12.95,-76.3833,65.66,85,92,2.89,overcast clouds
71,Thompson,CA,55.7435,-97.8558,3.31,85,19,8.01,few clouds
72,Tsumeb,NA,-19.2333,17.7167,70.27,20,31,2.73,scattered clouds
73,Sao Francisco,BR,-15.9486,-44.8644,70.5,88,100,3.89,light rain
74,Ribeira Grande,PT,38.5167,-28.7,65.26,84,99,26.75,overcast clouds
75,Sept-Iles,CA,50.2001,-66.3821,36.27,75,100,6.42,overcast clouds
76,Bambous Virieux,MU,-20.3428,57.7575,71.22,71,10,7.0,clear sky
77,Atuona,PF,-9.8,-139.0333,78.26,72,100,10.22,overcast clouds
78,Kutum,SD,14.2,24.6667,59.09,35,38,5.91,scattered clouds
79,Samarai,PG,-10.6167,150.6667,84.7,73,66,15.32,broken clouds
80,Albany,US,42.6001,-73.9662,48.09,70,100,7.36,overcast clouds
